initialOwner,claimant,totalAmount,tgePercentage,cliffDuration,vestingDuration
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xA96b36F39aE28ef206183F7958f0492470470F30,"200,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xc2EB30BA00514a1B830B7846a8E332A834D73E8b,"1,000,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xe28551451CFee5C5bb6Fd1400F5e4286C5D743be,"2,000,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x311b3bf4541a6A1A57c209a9bDCDcd643279E303,"1,500,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x6857576a4af1Ef5272f45d9b8fD7A80fcAA33AcB,"27,467",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xAEE51F0d6Ef1D95E7750EEc5759A7b9c63cb6c7d,"774,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x518BeB487D463c60845911437E181F4e286e5253,"200,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x189d649ef027b65a6da4529498b1021cc885668f,"300,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x716D44E890098033d14f416da5Cca06cD45B6A4c,"200,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x70B4aB88caC0A07b44cf8110b3e3B4f59a6E52c6,"1,000,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xcC36c0bb849E9C281D1eB9192BCc512a37b2b64d,"575,167",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x0A1a435fDeB196860B84763Fa7Ac147EC33E537A,"200,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x14d9e8cfaa2fe88c3e1eeb589b5edfc0a1c08893,"47,367",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xd48E64058cc8eF3AF75073921B2a9cC4Eb5Bf6aB,"600,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xef30564b15d11ee06063aAcfBE4f0DB84C86441A,"155,033",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xd04617b3bd5b1Df0A3aF712fc5011cA899222391,"440,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,"200,000",2.50%,6,23
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x810e6F2fe5A23CDDa285CE60991d2C4789A3bbC9,"1,000,000",2.50%,6,23
